2023-09-10 19:41:24,042 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389283,"target":...bar_absolute":29.851}]}' [2476 bytes]
2023-09-10 19:41:28,950 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389288,"target":...bar_absolute":29.849}]}' [2484 bytes]
2023-09-10 19:41:33,979 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389293,"target":...bar_absolute":29.849}]}' [2484 bytes]
2023-09-10 19:41:38,964 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389298,"target":...bar_absolute":29.849}]}' [2484 bytes]
2023-09-10 19:41:44,295 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389303,"target":...bar_absolute":29.849}]}' [2484 bytes]
2023-09-10 19:41:48,980 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389308,"target":...bar_absolute":29.849}]}' [2476 bytes]
2023-09-10 19:41:50,501 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:41:50,501 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 56 e1 48 a4 [binary, 4 bytes]
2023-09-10 19:41:50,545 | websockets.client | DEBUG | protocol | read_frame | < PONG 56 e1 48 a4 [binary, 4 bytes]
2023-09-10 19:41:50,545 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:41:54,050 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389313,"target":...bar_absolute":29.849}]}' [2476 bytes]
2023-09-10 19:41:58,976 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389318,"target":...bar_absolute":29.851}]}' [2476 bytes]
2023-09-10 19:42:03,985 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389323,"target":...bar_absolute":29.851}]}' [2480 bytes]
2023-09-10 19:42:08,983 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389328,"target":...bar_absolute":29.851}]}' [2480 bytes]
2023-09-10 19:42:14,017 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389333,"target":...bar_absolute":29.851}]}' [2480 bytes]
2023-09-10 19:42:18,999 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389338,"target":...bar_absolute":29.851}]}' [2480 bytes]
2023-09-10 19:42:20,562 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:42:20,562 | websockets.client | DEBUG | protocol | write_frame_sync | > PING '.#t_' [text, 4 bytes]
2023-09-10 19:42:20,593 | websockets.client | DEBUG | protocol | read_frame | < PONG '.#t_' [text, 4 bytes]
2023-09-10 19:42:20,593 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:42:24,081 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389343,"target":...bar_absolute":29.851}]}' [2480 bytes]
2023-09-10 19:42:28,974 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389348,"target":..."bar_absolute":29.85}]}' [2478 bytes]
2023-09-10 19:42:33,992 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389353,"target":..."bar_absolute":29.85}]}' [2478 bytes]
2023-09-10 19:42:38,991 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389358,"target":..."bar_absolute":29.85}]}' [2478 bytes]
2023-09-10 19:42:44,016 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389363,"target":..."bar_absolute":29.85}]}' [2478 bytes]
2023-09-10 19:42:49,009 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389368,"target":..."bar_absolute":29.85}]}' [2478 bytes]
2023-09-10 19:42:50,608 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:42:50,608 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 95 f8 b4 c9 [binary, 4 bytes]
2023-09-10 19:42:50,639 | websockets.client | DEBUG | protocol | read_frame | < PONG 95 f8 b4 c9 [binary, 4 bytes]
2023-09-10 19:42:50,639 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:42:54,103 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389373,"target":..."bar_absolute":29.85}]}' [2478 bytes]
2023-09-10 19:42:59,007 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389378,"target":...bar_absolute":29.851}]}' [2484 bytes]
2023-09-10 19:43:04,012 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389383,"target":...bar_absolute":29.851}]}' [2484 bytes]
2023-09-10 19:43:09,013 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389388,"target":...bar_absolute":29.851}]}' [2484 bytes]
2023-09-10 19:43:14,019 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389393,"target":...bar_absolute":29.851}]}' [2484 bytes]
2023-09-10 19:43:19,013 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389398,"target":...bar_absolute":29.851}]}' [2484 bytes]
2023-09-10 19:43:20,646 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:43:20,646 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 02 2a 8f 39 [binary, 4 bytes]
2023-09-10 19:43:20,678 | websockets.client | DEBUG | protocol | read_frame | < PONG 02 2a 8f 39 [binary, 4 bytes]
2023-09-10 19:43:20,678 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:43:24,205 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389403,"target":...bar_absolute":29.851}]}' [2484 bytes]
