2023-10-11 00:03:43,979 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997023,"target":...bar_absolute":29.794}]}' [2462 bytes]
2023-10-11 00:03:48,944 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997028,"target":...bar_absolute":29.794}]}' [2462 bytes]
2023-10-11 00:03:53,920 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997033,"target":...bar_absolute":29.794}]}' [2462 bytes]
2023-10-11 00:03:58,936 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997038,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:03:59,461 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:03:59,461 | websockets.client | DEBUG | protocol | write_frame_sync | > PING ec 0d ab 52 [binary, 4 bytes]
2023-10-11 00:03:59,502 | websockets.client | DEBUG | protocol | read_frame | < PONG ec 0d ab 52 [binary, 4 bytes]
2023-10-11 00:03:59,503 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:04:05,707 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997043,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:04:08,936 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997048,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:04:13,932 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997053,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:04:18,938 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997058,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:04:23,941 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997063,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:04:28,945 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997068,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:04:29,514 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:04:29,514 | websockets.client | DEBUG | protocol | write_frame_sync | > PING b2 8f 1a 28 [binary, 4 bytes]
2023-10-11 00:04:29,564 | websockets.client | DEBUG | protocol | read_frame | < PONG b2 8f 1a 28 [binary, 4 bytes]
2023-10-11 00:04:29,564 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:04:34,047 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997073,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:04:38,955 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997078,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:04:43,961 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997083,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:04:48,964 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997088,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:04:53,974 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997093,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:04:58,969 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997098,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:04:59,578 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:04:59,578 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 36 ed 3e 24 [binary, 4 bytes]
2023-10-11 00:04:59,618 | websockets.client | DEBUG | protocol | read_frame | < PONG 36 ed 3e 24 [binary, 4 bytes]
2023-10-11 00:04:59,618 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:05:04,073 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997103,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:05:08,987 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997108,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:05:13,971 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997113,"target":...bar_absolute":29.795}]}' [2454 bytes]
2023-10-11 00:05:18,985 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997118,"target":...bar_absolute":29.795}]}' [2454 bytes]
